code;name
U01;Agriculture, forestry, fishing
U02;Agricultural and food industries
U03;Energy production and distribution
U04;Intermediate goods industries
U05;Capital goods industry
U06;Consumer goods industry
U07;Building, civil engineering and agricultural industries
U08;Trade
U09;Transport and telecommunications
U10;Commercial services
U11;Real estate rental
U12;Insurance
U13;Financial institutions
U14;Non-market services
U19;"Foreign diplomatic representation in France; international organizations"
T01;Agriculture, forestry, fishing
T02;Meat and dairy industries
T03;Other agricultural and food industries
T04;Production of solid mineral fuels and coking
T05;Oil and natural gas production
T06;Electricity production and distribution, gas and water distribution
T07;Production of ores and ferrous metals, primary steel processing
T08;Production of non-ferrous ores, metals and semi-finished products
T09;Production of building materials and miscellaneous minerals
T10;Glass industry
T11;Basic chemicals, synthetic yarn and fiber production
T13;Foundry and metalworking
T21;Paper and cardboard industries
T23;Rubber industry, plastics processing
T14;Mechanical engineering
T15;Electrical and electronics engineering
T16;Manufacture of motor vehicles and other ground transportation equipment
T17;Shipbuilding, aerospace and armaments
T12;Parachemistry and pharmaceuticals
T18;Textile and clothing industries
T19;Leather and footwear industries
T20;"Wood and furniture industries; miscellaneous industries"
T22;Printing, press and publishing
T24;Building, civil and agricultural engineering industries
T25;Food wholesale
T26;Non-food wholesale
T27;Food retailing
T28;Non-food retail
T31;Transport
T32;Telecommunications and post
T29;Automotive repair and trade
T30;Hotels, cafés, restaurants
T33;Market services mainly to businesses
T34;Market services mainly to private individuals
T35;Real estate rental and leasing
T36;Insurance
T37;Financial institutions
T38;Non-market services
T49;"Foreign diplomatic representation in France; international organizations"
01;Agriculture
02;Forestry and logging
03;Fishing
35;Meat industry
36;Dairy industry
37;Canning industry
38;Bakery and pastry-making
39;Grain processing
40;Manufacture of miscellaneous food products
41;Manufacture of beverages and spirits
42;Tobacco processing
04;Production of solid mineral fuels and coking
05;Petroleum and natural gas production
06;Electricity generation and distribution
07;Gas distribution
08;Water supply and district heating
09;Iron ore mining and processing
10;Iron and steel industry
11;Primary steel processing
12;Non-ferrous ore extraction and processing
13;Metallurgy and primary processing of non-ferrous metals
14;Production of various minerals
15;Production of building materials and ceramics
16;Glass industry
17;Basic chemical industry
43;Artificial and synthetic yarns and fibers industry
20;Foundry
21;Metalworking
50;Paper and cardboard industry
52;Rubber industry
53;Plastics processing
22;Manufacture of agricultural machinery
23;Manufacture of machine tools
24;Production of industrial equipment
25;Manufacture of handling equipment, mining, steel and civil engineering equipment
34;Manufacture of precision instruments and equipment
27;Manufacture of office machinery and information processing equipment
28;Manufacture of electrical equipment
29;Manufacture of household and professional electronic equipment
30;Manufacture of household equipment
31;Manufacture of motor vehicles and other ground transportation equipment
26;Armaments industry
32;Shipbuilding
33;Aircraft manufacturing
18;Parachemistry
19;Pharmaceutical industry
44;Textile industry
47;Clothing industry
45;Leather industry
46;Footwear industry
48;Mechanical woodworking
49;Furniture industry
54;Miscellaneous industries
51;Printing, press, publishing
55;Building, civil and agricultural engineering industry
57;Food wholesale
58;Non-food wholesale
59;Inter-industrial wholesale
60;Trade intermediaries
61;Large-scale general food retailing
62;Local or specialized food retailing
63;Non-specialized non-food retail
64;Specialized non-food retail
68;Rail transport
69;Road transport, urban transport, driving transport
70;Inland shipping
71;Shipping and coastal navigation
72;Air transport
73;Activities incidental to transport and warehousing
74;Transport auxiliaries and travel agencies
75;Telecommunications and postal services
65;Automotive repair and trade
67;Hotels, cafés, restaurants
56;Recycling
76;Holding companies
77;Research, consulting and assistance activities
78;Financial and insurance auxiliaries
79;Developers and real estate companies
80;Rental of domestic and industrial goods
82;Education (market services)
83;Research (market services)
66;Miscellaneous repairs
84;Health (market services)
85;Social welfare (market services)
86;Recreational, cultural and sporting services (market services)
87;Miscellaneous services (market)
81;Real estate rental
88;Insurance
89;Financial institutions
90;General administration
91;Welfare and social security
92;Education (non-market services)
93;Research (non-market services)
94;Health (non-market services)
95;Social welfare (non-market services)
96;Recreational, cultural and sporting services (non-market)
97;Miscellaneous community services (non-market)
98;Domestic services
99;"Foreign diplomatic representation in France; international organizations"
01.00;General cultures
01.07;General crops associated with other agricultural activities
01.10;"Production of fresh vegetables, flowers; nurseries"
01.16;Fruit growing
01.17;Viticulture
01.30;Wine-making
01.50;Cattle breeding
01.56;Cattle breeding combined with other agricultural activities
01.57;Sheep, goat and horse breeding
01.60;Pig farming
01.63;Poultry farming
01.70;Miscellaneous agricultural production
01.74;Hunting and trapping
01.80;Agricultural contract work
01.90;Livestock services
02.10;Forestry and forest services
02.20;Forest harvesting
03.10;Sea fishing
03.20;Shellfish farming
03.30;Fish farming and freshwater fishing
03.40;Cultivation and harvesting of various marine products
35.01;Livestock slaughtering
35.04;Manufacture of charcuterie and canned meats
35.05;Poultry slaughtering
36.10;Dairy industry
36.20;Ice cream and sherbet production
37.01;Fruit and jam canning
37.02;Vegetable canning
37.03;Fish canning
37.04;Preparation of ready-made meals
38.10;Industrial production of fresh bread and pastries
38.40;Bakery, pastry
38.50;Pastry
39.01;Milling
39.02;Cookie making
39.03;Semolina
39.04;Pasta and couscous production
39.05;Coarse grain processing
39.06;Malting
