CODGEO;LIBGEO;EPCI;LIBEPCI
01001;L'Abergement-Clémenciat;200069193;CC de la Dombes
01002;L'Abergement-de-Varey;240100883;CC de la Plaine de l'Ain
01004;Ambérieu-en-Bugey;240100883;CC de la Plaine de l'Ain
01005;Ambérieux-en-Dombes;200042497;CC Dombes Saône Vallée
01006;Ambléon;200040350;CC Bugey Sud
01007;Ambronay;240100883;CC de la Plaine de l'Ain
01008;Ambutrix;240100883;CC de la Plaine de l'Ain
01009;Andert-et-Condon;200040350;CC Bugey Sud
01010;Anglefort;200070852;CC Usses et Rhône
01011;Apremont;200042935;CA Haut - Bugey Agglomération
01012;Aranc;200042935;CA Haut - Bugey Agglomération
01013;Arandas;240100883;CC de la Plaine de l'Ain
01014;Arbent;200042935;CA Haut - Bugey Agglomération
01015;Arboys en Bugey;200040350;CC Bugey Sud
01016;Arbigny;200071371;CC Bresse et Saône
01017;Argis;240100883;CC de la Plaine de l'Ain
01019;Armix;200040350;CC Bugey Sud
01021;Ars-sur-Formans;200042497;CC Dombes Saône Vallée
01022;Artemare;200040350;CC Bugey Sud
01023;Asnières-sur-Saône;200071371;CC Bresse et Saône
01024;Attignat;200071751;CA du Bassin de Bourg-en-Bresse
01025;Bâgé-Dommartin;200071371;CC Bresse et Saône
01026;Bâgé-le-Châtel;200071371;CC Bresse et Saône
01027;Balan;240100610;CC de la Côtière à Montluel
01028;Baneins;200069193;CC de la Dombes
01029;Beaupont;200071751;CA du Bassin de Bourg-en-Bresse
01030;Beauregard;200042497;CC Dombes Saône Vallée
01031;Bellignat;200042935;CA Haut - Bugey Agglomération
01032;Béligneux;240100610;CC de la Côtière à Montluel
01033;Valserhône;240100891;CC du Pays Bellegardien (CCPB)
01034;Belley;200040350;CC Bugey Sud
01035;Belleydoux;200042935;CA Haut - Bugey Agglomération
01036;Valromey-sur-Séran;200040350;CC Bugey Sud
01037;Bénonces;240100883;CC de la Plaine de l'Ain
01038;Bény;200071751;CA du Bassin de Bourg-en-Bresse
01040;Béréziat;200071751;CA du Bassin de Bourg-en-Bresse
01041;Bettant;240100883;CC de la Plaine de l'Ain
01042;Bey;200070555;CC de la Veyle
01043;Beynost;240100800;CC de Miribel et du Plateau
01044;Billiat;240100891;CC du Pays Bellegardien (CCPB)
01045;Birieux;200069193;CC de la Dombes
01046;Biziat;200070555;CC de la Veyle
01047;Blyes;240100883;CC de la Plaine de l'Ain
01049;La Boisse;240100610;CC de la Côtière à Montluel
01050;Boissey;200071371;CC Bresse et Saône
01051;Bolozon;200042935;CA Haut - Bugey Agglomération
01052;Bouligneux;200069193;CC de la Dombes
01053;Bourg-en-Bresse;200071751;CA du Bassin de Bourg-en-Bresse
01054;Bourg-Saint-Christophe;240100883;CC de la Plaine de l'Ain
01056;Boyeux-Saint-Jérôme;200029999;CC Rives de l'Ain - Pays du Cerdon
01057;Boz;200071371;CC Bresse et Saône
01058;Brégnier-Cordon;200040350;CC Bugey Sud
01060;Brénod;200042935;CA Haut - Bugey Agglomération
01061;Brens;200040350;CC Bugey Sud
01062;Bressolles;240100610;CC de la Côtière à Montluel
01063;Brion;200042935;CA Haut - Bugey Agglomération
01064;Briord;240100883;CC de la Plaine de l'Ain
01065;Buellas;200071751;CA du Bassin de Bourg-en-Bresse
01066;La Burbanche;200040350;CC Bugey Sud
01067;Ceignes;200042935;CA Haut - Bugey Agglomération
01068;Cerdon;200029999;CC Rives de l'Ain - Pays du Cerdon
01069;Certines;200071751;CA du Bassin de Bourg-en-Bresse
01071;Cessy;240100750;CA du Pays de Gex
01072;Ceyzériat;200071751;CA du Bassin de Bourg-en-Bresse
01073;Ceyzérieu;200040350;CC Bugey Sud
01074;Chalamont;200069193;CC de la Dombes
01075;Chaleins;200070118;CC Val de Saône Centre
01076;Chaley;240100883;CC de la Plaine de l'Ain
01077;Challes-la-Montagne;200029999;CC Rives de l'Ain - Pays du Cerdon
01078;Challex;240100750;CA du Pays de Gex
01079;Champagne-en-Valromey;200040350;CC Bugey Sud
01080;Champdor-Corcelles;200042935;CA Haut - Bugey Agglomération
01081;Champfromier;240100891;CC du Pays Bellegardien (CCPB)
01082;Chanay;240100891;CC du Pays Bellegardien (CCPB)
01083;Chaneins;200069193;CC de la Dombes
01084;Chanoz-Châtenay;200070555;CC de la Veyle
01085;La Chapelle-du-Châtelard;200069193;CC de la Dombes
01087;Charix;200042935;CA Haut - Bugey Agglomération
01088;Charnoz-sur-Ain;240100883;CC de la Plaine de l'Ain
01089;Château-Gaillard;240100883;CC de la Plaine de l'Ain
01090;Châtenay;200069193;CC de la Dombes
01092;Châtillon-la-Palud;200069193;CC de la Dombes
01093;Châtillon-sur-Chalaronne;200069193;CC de la Dombes
01094;Chavannes-sur-Reyssouze;200071371;CC Bresse et Saône
01095;Nivigne et Suran;200071751;CA du Bassin de Bourg-en-Bresse
01096;Chaveyriat;200070555;CC de la Veyle
01098;Chazey-Bons;200040350;CC Bugey Sud
01099;Chazey-sur-Ain;240100883;CC de la Plaine de l'Ain
01100;Cheignieu-la-Balme;200040350;CC Bugey Sud
01101;Chevillard;200042935;CA Haut - Bugey Agglomération
01102;Chevroux;200071371;CC Bresse et Saône
01103;Chevry;240100750;CA du Pays de Gex
01104;Chézery-Forens;240100750;CA du Pays de Gex
01105;Civrieux;200042497;CC Dombes Saône Vallée
01106;Cize;200071751;CA du Bassin de Bourg-en-Bresse
01107;Cleyzieu;240100883;CC de la Plaine de l'Ain
01108;Coligny;200071751;CA du Bassin de Bourg-en-Bresse
01109;Collonges;240100750;CA du Pays de Gex
01110;Colomieu;200040350;CC Bugey Sud
01111;Conand;240100883;CC de la Plaine de l'Ain
01112;Condamine;200042935;CA Haut - Bugey Agglomération
01113;Condeissiat;200069193;CC de la Dombes
01114;Confort;240100891;CC du Pays Bellegardien (CCPB)
01115;Confrançon;200071751;CA du Bassin de Bourg-en-Bresse
01116;Contrevoz;200040350;CC Bugey Sud
01117;Conzieu;200040350;CC Bugey Sud
01118;Corbonod;200070852;CC Usses et Rhône
01121;Corlier;200042935;CA Haut - Bugey Agglomération
01123;Cormoranche-sur-Saône;200070555;CC de la Veyle
01124;Cormoz;200071751;CA du Bassin de Bourg-en-Bresse
01125;Corveissiat;200071751;CA du Bassin de Bourg-en-Bresse
01127;Courmangoux;200071751;CA du Bassin de Bourg-en-Bresse
01128;Courtes;200071751;CA du Bassin de Bourg-en-Bresse
01129;Crans;200069193;CC de la Dombes
01130;Bresse Vallons;200071751;CA du Bassin de Bourg-en-Bresse
01133;Cressin-Rochefort;200040350;CC Bugey Sud
01134;Crottet;200070555;CC de la Veyle
01135;Crozet;240100750;CA du Pays de Gex
01136;Cruzilles-lès-Mépillat;200070555;CC de la Veyle
01138;Culoz-Béon;200040350;CC Bugey Sud
01139;Curciat-Dongalon;200071751;CA du Bassin de Bourg-en-Bresse
01140;Curtafond;200071751;CA du Bassin de Bourg-en-Bresse
01141;Cuzieu;200040350;CC Bugey Sud
01142;Dagneux;240100610;CC de la Côtière à Montluel
01143;Divonne-les-Bains;240100750;CA du Pays de Gex
01145;Dompierre-sur-Veyle;200071751;CA du Bassin de Bourg-en-Bresse
01146;Dompierre-sur-Chalaronne;200069193;CC de la Dombes
01147;Domsure;200071751;CA du Bassin de Bourg-en-Bresse
01148;Dortan;200042935;CA Haut - Bugey Agglomération
01149;Douvres;240100883;CC de la Plaine de l'Ain
01150;Drom;200071751;CA du Bassin de Bourg-en-Bresse
01151;Druillat;200071751;CA du Bassin de Bourg-en-Bresse
01152;Échallon;200042935;CA Haut - Bugey Agglomération
01153;Échenevex;240100750;CA du Pays de Gex
01155;Évosges;200042935;CA Haut - Bugey Agglomération
01156;Faramans;240100883;CC de la Plaine de l'Ain
01157;Fareins;200042497;CC Dombes Saône Vallée
01158;Farges;240100750;CA du Pays de Gex
01159;Feillens;200071371;CC Bresse et Saône
01160;Ferney-Voltaire;240100750;CA du Pays de Gex
01162;Flaxieu;200040350;CC Bugey Sud
01163;Foissiat;200071751;CA du Bassin de Bourg-en-Bresse
01165;Francheleins;200070118;CC Val de Saône Centre
01166;Frans;200042497;CC Dombes Saône Vallée
01167;Garnerans;200070118;CC Val de Saône Centre
01169;Genouilleux;200070118;CC Val de Saône Centre
01170;Béard-Géovreissiat;200042935;CA Haut - Bugey Agglomération
01171;Géovreisset;200042935;CA Haut - Bugey Agglomération
01173;Gex;240100750;CA du Pays de Gex
01174;Giron;240100891;CC du Pays Bellegardien (CCPB)
